Currency,Highest Sell Price,Sell Location,Sell Price
MYR,3.066,"Rahim Money Changer,JC Global (Yishun) ,Golden Horse Prize Enterprise,Fiat@Raffles","3.06,3.05,3.066,3.065"
USD,0.7451,"Golden Horse Prize Enterprise,JC Global (Yishun) ,Fairfield Exchange,Fiat@Raffles,Rahim Money Changer","0.7446,0.7412,0.7451,0.7446,0.744"
THB,22.76,"JC Global (Yishun) ,Golden Horse Prize Enterprise,Fiat@Raffles","22.6,22.76,22.75"
TWD,21.83,"JC Global (Yishun) ,Fiat@Raffles,Golden Horse Prize Enterprise","21.5,21.8,21.83"
CNY,4.865,"JC Global (Yishun) ,Fiat@Raffles,Golden Horse Prize Enterprise","4.83,4.86,4.865"
HKD,5.765,"Fairfield Exchange,JC Global (Yishun) ,Golden Horse Prize Enterprise","5.75,5.7,5.765"
JPY,81,"Fiat@Raffles,JC Global (Yishun) ,Golden Horse Prize Enterprise,Fairfield Exchange","80.8407,78,80.91,81"
KRW,846.09,"JC Global (Yishun) ,Golden Horse Prize Enterprise,Fiat@Raffles","830,846.09,846.02"
EUR,0.6242,"Fiat@Raffles,JC Global (Yishun) ,Rahim Money Changer,Golden Horse Prize Enterprise","0.6238,0.6211,0.6238,0.6242"
GBP,0.537,"Golden Horse Prize Enterprise,Fiat@Raffles","0.537,0.5361"
AUD,0.961,"Golden Horse Prize Enterprise,JC Global (Yishun) ,Fiat@Raffles","0.961,0.9551,0.9606"
NZD,1.0383,"Golden Horse Prize Enterprise,Fiat@Raffles,JC Global (Yishun) ","1.0383,1.0341,1.0309"
IDR,10493,"Golden Horse Prize Enterprise,Fiat@Raffles,JC Global (Yishun) ","10450,10493,10300"
PHP,35.09,"JC Global (Yishun) ,Golden Horse Prize Enterprise","35,35.09"
VND,16765,"Golden Horse Prize Enterprise,Fiat@Raffles,JC Global (Yishun) ","16765,16750,16000"
INR,55.56,"Golden Horse Prize Enterprise,Rahim Money Changer,JC Global (Yishun) ,Fiat@Raffles","55.56,55,53,54"
CHF,0.6896,"JC Global (Yishun) ,Fiat@Raffles,Golden Horse Prize Enterprise","0.6872,0.6872,0.6896"
CAD,0.9276,"Golden Horse Prize Enterprise,JC Global (Yishun) ","0.9276,0.9259"
